,symboling,fueltype,doornumber,carwidth,cylindernumber,horsepower,citympg,highwaympg,price
83,3,0,2,66.3,4,145,19,24,14869.0
84,3,0,2,66.3,4,145,19,24,14489.0
85,1,0,4,65.4,4,88,25,32,6989.0
86,1,0,4,65.4,4,88,25,32,8189.0
87,1,0,4,65.4,4,116,23,30,9279.0
88,-1,0,4,65.4,4,116,23,30,9279.0
89,1,0,2,63.8,4,69,31,37,5499.0
90,1,1,2,63.8,4,55,45,50,7099.0
91,1,0,2,63.8,4,69,31,37,6649.0
92,1,0,4,63.8,4,69,31,37,6849.0
93,1,0,4,63.8,4,69,31,37,7349.0
94,1,0,2,63.8,4,69,31,37,7299.0
95,1,0,2,63.8,4,69,31,37,7799.0
96,1,0,4,63.8,4,69,31,37,7499.0
97,1,0,4,63.8,4,69,31,37,7999.0
98,2,0,2,63.8,4,69,31,37,8249.0
99,0,0,4,65.2,4,97,27,34,8949.0
100,0,0,4,65.2,4,97,27,34,9549.0
101,0,0,4,66.5,6,152,17,22,13499.0
102,0,0,4,66.5,6,152,17,22,14399.0
103,0,0,4,66.5,6,152,19,25,13499.0
104,3,0,2,67.9,6,160,19,25,17199.0
105,3,0,2,67.9,6,200,17,23,19699.0
106,1,0,2,67.9,6,160,19,25,18399.0
107,0,0,4,68.4,4,97,19,24,11900.0
108,0,1,4,68.4,4,95,28,33,13200.0
109,0,0,4,68.4,4,97,19,24,12440.0
110,0,1,4,68.4,4,95,25,25,13860.0
111,0,0,4,68.4,4,95,19,24,15580.0
112,0,1,4,68.4,4,95,28,33,16900.0
113,0,0,4,68.4,4,95,19,24,16695.0
114,0,1,4,68.4,4,95,25,25,17075.0
115,0,0,4,68.4,4,97,19,24,16630.0
116,0,1,4,68.4,4,95,28,33,17950.0
117,0,0,4,68.3,4,142,18,24,18150.0
118,1,0,2,63.8,4,68,37,41,5572.0
119,1,0,2,63.8,4,102,24,30,7957.0
120,1,0,4,63.8,4,68,31,38,6229.0
121,1,0,4,63.8,4,68,31,38,6692.0
122,1,0,4,63.8,4,68,31,38,7609.0
123,-1,0,4,64.6,4,88,24,30,8921.0
124,3,0,2,66.3,4,145,19,24,12764.0
125,3,0,2,68.3,4,143,19,27,22018.0
126,3,0,2,65.0,6,207,17,25,32528.0
127,3,0,2,65.0,6,207,17,25,34028.0
128,3,0,2,65.0,6,207,17,25,37028.0
129,1,0,2,72.3,8,288,17,28,31400.5
130,0,0,4,66.5,4,90,23,31,9295.0
131,2,0,2,66.6,4,90,23,31,9895.0
132,3,0,2,66.5,4,110,21,28,11850.0
133,2,0,4,66.5,4,110,21,28,12170.0
134,3,0,2,66.5,4,110,21,28,15040.0
135,2,0,4,66.5,4,110,21,28,15510.0
136,3,0,2,66.5,4,160,19,26,18150.0
137,2,0,4,66.5,4,160,19,26,18620.0
138,2,0,2,63.4,4,69,31,36,5118.0
139,2,0,2,63.6,4,73,26,31,7053.0
140,2,0,2,63.8,4,73,26,31,7603.0
141,0,0,4,65.4,4,82,32,37,7126.0
142,0,0,4,65.4,4,82,28,33,7775.0
143,0,0,4,65.4,4,94,26,32,9960.0
144,0,0,4,65.4,4,82,24,25,9233.0
145,0,0,4,65.4,4,111,24,29,11259.0
146,0,0,4,65.4,4,82,28,32,7463.0
147,0,0,4,65.4,4,94,25,31,10198.0
148,0,0,4,65.4,4,82,23,29,8013.0
149,0,0,4,65.4,4,111,23,23,11694.0
150,1,0,2,63.6,4,62,35,39,5348.0
151,1,0,2,63.6,4,62,31,38,6338.0
152,1,0,4,63.6,4,62,31,38,6488.0
153,0,0,4,63.6,4,62,31,37,6918.0
154,0,0,4,63.6,4,62,27,32,7898.0
155,0,0,4,63.6,4,62,27,32,8778.0
156,0,0,4,64.4,4,70,30,37,6938.0
157,0,0,4,64.4,4,70,30,37,7198.0
158,0,1,4,64.4,4,56,34,36,7898.0
159,0,1,4,64.4,4,56,38,47,7788.0
160,0,0,4,64.4,4,70,38,47,7738.0
161,0,0,4,64.4,4,70,28,34,8358.0
162,0,0,4,64.4,4,70,28,34,9258.0
163,1,0,2,64.0,4,70,29,34,8058.0
164,1,0,2,64.0,4,70,29,34,8238.0
165,1,0,2,64.0,4,112,26,29,9298.0
166,1,0,2,64.0,4,112,26,29,9538.0
167,2,0,2,65.6,4,116,24,30,8449.0
168,2,0,2,65.6,4,116,24,30,9639.0
169,2,0,2,65.6,4,116,24,30,9989.0
170,2,0,2,65.6,4,116,24,30,11199.0
171,2,0,2,65.6,4,116,24,30,11549.0
172,2,0,2,65.6,4,116,24,30,17669.0
173,-1,0,4,66.5,4,92,29,34,8948.0
174,-1,1,4,66.5,4,73,30,33,10698.0
175,-1,0,4,66.5,4,92,27,32,9988.0
176,-1,0,4,66.5,4,92,27,32,10898.0
177,-1,0,4,66.5,4,92,27,32,11248.0
178,3,0,2,67.7,6,161,20,24,16558.0
179,3,0,2,67.7,6,161,19,24,15998.0
180,-1,0,4,66.5,6,156,20,24,15690.0
181,-1,0,4,66.5,6,156,19,24,15750.0
182,2,1,2,65.5,4,52,37,46,7775.0
183,2,0,2,65.5,4,85,27,34,7975.0
184,2,1,4,65.5,4,52,37,46,7995.0
185,2,0,4,65.5,4,85,27,34,8195.0
186,2,0,4,65.5,4,85,27,34,8495.0
187,2,1,4,65.5,4,68,37,42,9495.0
188,2,0,4,65.5,4,100,26,32,9995.0
189,3,0,2,64.2,4,90,24,29,11595.0
190,3,0,2,64.0,4,90,24,29,9980.0
191,0,0,4,66.9,5,110,19,24,13295.0
192,0,1,4,66.9,4,68,33,38,13845.0
193,0,0,4,66.9,4,88,25,31,12290.0
194,-2,0,4,67.2,4,114,23,28,12940.0
195,-1,0,4,67.2,4,114,23,28,13415.0
196,-2,0,4,67.2,4,114,24,28,15985.0
197,-1,0,4,67.2,4,114,24,28,16515.0
198,-2,0,4,67.2,4,162,17,22,18420.0
199,-1,0,4,67.2,4,162,17,22,18950.0
200,-1,0,4,68.9,4,114,23,28,16845.0
201,-1,0,4,68.8,4,160,19,25,19045.0
202,-1,0,4,68.9,6,134,18,23,21485.0
203,-1,1,4,68.9,6,106,26,27,22470.0
204,-1,0,4,68.9,4,114,19,25,22625.0
